"Artikelnummer";"Name";"Kategorie";"Beschreibung";"EK";"Lieferanten Nr.";"Geändert";"VK Verkaufspreis "
"1702";"3.4.3 Entnahme, Analyse und Deklaration von Bodenproben (UW)";"Umspannwerke";"• Entnahme von Bodenproben auf der Baustelle gemäß LAGA PN 98, Anforderungen an die stoffliche Verwertung mineralischer Abfälle – Teil III: Probenahme und Analyse.
 • Übergabe der Bodenproben an ein zugelassenes Labor zur Analyse und Bewertung. 
 • Durchführung der analytischen Untersuchung der Bodenproben. 
 • Die TR LAGA M20 sowie Vorgaben des Entsorgungsunternehmens sind einzuhalten. 
 • Einstufung des Materials in die Einbauklassen gemäß LAGA basierend auf den ermittelten Analysewerten.";"3500";"";"23.01.25";"4550"
"1698";"3.3.3 Außenbeleuchtung (UW)";"Umspannwerke";"Ausführungen als LED-Strahler für Außenbereiche, Schutzart IP65, 4000K – kaltweiß. Lieferung und Installation:
 • LED-Flutlichtstrahler 4000K, Schwarz, Schutzart IP65.
 • Modell: LEDVANCE FLOODLIGHT LED100WBK 3232254.";"3500";"";"23.01.25";"4550"
"1697";"3.3.2 Torsystem (UW)";"Umspannwerke";"Torsystem bestehend aus Fahrzeug- und Fußgängertoren: 

 




• Fahrzeugtor: 

- Zweiflügelig, Breite 4 m. 

- Torblatt-Höhe ca. 2,00 m. 

- Öffnungsrichtung: Torflügel öffnen nach innen.




• Fußgängertor:


- Breite ca. 1,00 m.

- Öffnungsrichtung: Torflügel öffnet nach außen. 

- Mit Kontakt für Zutrittsüberwachung. 

- Außen fester Knauf, innen Drehknauf. 

- Effektiver Durchgreifschutz muss umgesetzt werden. 

 




• Farbgestaltung: 

- Pfosten und Tore analog zur Zaunausführung. 

 




• Sicherheit: 

- Scharniere oder deren Verschraubungen dürfen von außen nicht zugänglich sein.

- Das Doppeltor ist mit einem Anschlag-Schuh als Stopper und zur Sicherung der Torflügel auszustatten. Dieser muss seitlich offen und leicht zu reinigen sein. 

 




• Maßnahmen zur Verhinderung des Hochschiebens oder Hebelns des Riegels, z. B. durch Splint, sind umzusetzen. 




• Verschlusssystem: 

- Das Doppeltor wird mit einem stabilen Riegelverschluss (Riegel ca. 520x40x6 mm) für ein Vorhängeschloss verschlossen. 

- Das Verschlusssystem ist für die Installation von mitgelieferten Schließzylindern für NB- und Kundenschließung mit Durchgreifschutz vorbereitet. 

 




• Leitungen:

-Erforderliche Leerrohre für Steuerleitungen sind zu berücksichtigen.";"9800";"";"23.01.25";"12740"
"1696";"3.3.1 UW-Einzäunung (UW)";"Umspannwerke";"• Lieferung und fachgerechte Installation eines Zaunsystems mit folgenden Spezifikationen:

•  Zaunsystem: Aus Drahtgeflecht, Maschenweite max. 40 x 40 mm, Drahtstärke &gt; 2,8 mm, verzinkt mit grüner Kunststoffbeschichtung.
 • Zaunpfosten: Feuerverzinkte, kunststoffbeschichtete Pfosten, mit Anschluss an das Erdungssystem. - Mindestens 4 Spannseile, maximaler Abstand 5 cm zum nivellierten Boden gemäß VDE 0101. 
 • Überkletterschutz: Zwei Reihen Stacheldraht, Gesamthöhe des Zauns: ca. 2,3 m. 
 • Kriechschutz: Unter dem Zaun werden Betonplatten aus Magerbeton horizontal verlegt, um das Unterkriechen zu verhindern (gemäß VDE 0101, h &lt; 50 mm) und als Mähkante zu dienen.";"180";"";"23.01.25";"234"
"1695";"3.2.3 Betriebsfläche vor dem Steuergebäude (E-Haus) (UW)";"Umspannwerke";"• Oberboden entfernen:- Aufnahme, Abtransport und Entsorgung des Oberbodens (Schichtdicke = 30 cm), einschließlich Deponiegebühren (LAGA Z0) und Nachweis der Verwertung. 
 • Bordsteine setzen: -  Tiefbordsteine (Größe 8/25/50 cm) aus Beton, frei Baustelle geliefert, in Beton mit Hinterstützung in korrekter Höhe und Ausrichtung entlang der überstehenden Transportstraßenflächen setzen. - Oberkante Bordstein 5 cm über OK fertiges Gelände.- Einschließlich aller Erdarbeiten, Nebenarbeiten sowie aller Senkungen, Bögen und Übergangssteine. 
 • Straßenunterbau vorbereiten:- Untergrund der Straße gemäß Profil vorbereiten und auf EV2 &gt; 45 MN/m² verdichten. 
 • Frostschutzschicht:- Mineralgemisch als Unterbau liefern und fachgerecht einbauen. - Verformungsmodul EV2 &gt; 120 MN/m², Schichtdicke = 35 cm. 
 • Straßenoberfläche als Kiesstraße 
• Nach Abschluss aller Schwertransporte (z. B. Transformatorentransport) wird die Deckschicht auf der Transportstraße als wassergebundene Oberfläche aufgebracht.";"325";"";"23.01.25";"422.5"
"1694";"3.2.2 Bau von Gehwegen im Bereich der Umspannstation (UW)";"Umspannwerke";"• Unterbau erstellen:- Untergrund in den Abtragsbereichen für Straßen und Wege herstellen, zulässige Abweichung von der Sollhöhe: +/- 3 cm.- Unebenheiten innerhalb eines 4,00 m langen Messabschnitts dürfen in Längs- und Querrichtung maximal 2 cm betragen. 
 • Verformungsmodul EV2 auf dem Untergrund: mindestens 45 MN/m². 
 • Geotextil zur Verbesserung der Bodenstabilität:- Geotextil mit einem Flächengewicht von 325 g/m² liefern und auf dem Untergrund verlegen.- Überlappung: 50 cm. Überlappungen und Verschnitt werden nicht gesondert vergütet.- Verlegung im Bereich von Straßen und Wegen. 
 • Kiestragschicht gemäß ZTVT-StB: - Kiestragschicht in Straßen- und Wegbereichen einbauen. 
 • Verformungsmodul EV2 an der Oberkante: mindestens 180 MN/m².- Material aus Hartkalkstein, Körnung 0/45, Schichtdicke bis 15 cm. 
 • Berücksichtigung von Unterbrechungen:- Unterbrechungen durch die Verlegung von Leerrohren oder Ähnlichem sind einzuplanen. 
 • Nachweise gemäß LAGA:- Material LAGA Z0, einschließlich aktuellem LAGA-Nachweis für jeden Steinbruch/Abbauort oder Lieferanten. 
 • Vorlage der Nachweise beim Baugrundgutachter des Auftraggebers. 
 • Abrechnung und Prüfungen: - Abrechnung gemäß den Profilen des Leistungsverzeichnisses. 
 • EV2-Werte sind durch Plattendruckversuche nachzuweisen.
• Frostschutzschicht als 1. Tragschicht: - Frostschutzschicht gemäß ZTVT-StB 95/98 in Straßenbereichen.- Verformungsmodul EV2 an der Oberkante: mindestens 120 MN/m². - Aus natürlichen Baustoffen, kein RC-Material, Körnung 0/56, Schichtdicke bis 27 cm. - Unterbrechungen durch die Verlegung von Leerrohren oder Ähnlichem sind zu berücksichtigen.

&#039; • LAGA-Nachweise:- Material gemäß LAGA Z0, einschließlich aktueller LAGA-Nachweise für jeden Steinbruch/Abbauort oder Lieferanten.- Vorlage der Nachweise beim Baugrundgutachter des Auftraggebers. - Abrechnung und Prüfungen: - Abrechnung gemäß Aufmaß. - EV2-Werte sind durch Plattendruckversuche nachzuweisen.


• Pflasterarbeiten in Gehwegbereichen - Betonpflastersteine 10/20/8 mit glatter Oberfläche, Farbe: Zementgrau. - Verlegt in Kalksteinsplittbett mit Querfugen, 3 cm dick, einschließlich Verfugung der Fugen und der erforderlichen Schneidarbeiten. - Betonbordsteine: Betonbordsteine gemäß DIN 483-T8 x 20. - Verlegt mit Bettung und Hinterfüllung, gemäß DIN 18318, aus Beton C8/10.- Bordsteine mit engen Fugen verlegen, einschließlich erforderlicher Schneidarbeiten.";"325";"";"23.01.25";"422.5"
"1693";"3.2.1 Bau der Hauptstraße für Transformatorenlieferung (UW)";"Umspannwerke";"&#039;• Oberboden entfernen: 
- Aufnahme, Abtransport und Entsorgung des Oberbodens (Schichtdicke = 30 cm), einschließlich Deponiegebühren (LAGA Z0) und Nachweis der Verwertung. 
 • Bordsteine setzen: 
- Tiefbordsteine (Größe 8/25/50 cm) aus Beton, frei Baustelle geliefert, in Beton mit Hinterstützung in korrekter Höhe und Ausrichtung entlang der überstehenden Transportstraßenflächen setzen.- Oberkante Bordstein 5 cm über OK fertiges Gelände.
 • Einschließlich aller Erdarbeiten, Nebenarbeiten sowie aller Senkungen, Bögen und Übergangssteine.
 • Straßenunterbau vorbereiten:- Untergrund der Straße gemäß Profil vorbereiten und auf EV2 &gt; 45 MN/m² verdichten.
 - Frostschutzschicht aus mineralischer Mischung als Unterbau liefern und fachgerecht einbauen (EV2 &gt; 120 MN/m²), Schichtdicke = 35 cm.
 
• Straßenoberfläche als Kiesstraße
 • Nach Abschluss aller Schwertransporte (z. B. Transformatorentransport) wird die Deckschicht auf der Transformatorenstraße als wassergebundene Oberfläche aufgebracht. 
 • Dazu wird eine ca. 5 cm dicke Deckschicht aus Splitt aufgebracht und fachgerecht verdichtet.";"155";"";"23.01.25";"201.5"
"1692";"3.1.6 Bodenaustausch (UW)";"Umspannwerke";"Falls der Boden nicht tragfähig ist (&lt; 150 kN/m²) und erforderlich wird, erfolgt der Bodenaustausch nach Freigabe durch den Auftraggeber. Der Bodenaustausch umfasst:
 • Aufnahme, Abtransport, Entsorgung, einschließlich Deponiegebühren und Nachweis der Verwertung.
• Lieferung und Lagerung des Ersatzbodens.
• Einbau, Verteilung und Verdichtung des Ersatzbodens.
• Nachweis der Tragfähigkeit und Dokumentation.
• Abnahme durch den fachkundigen Bauleiter.";"165";"";"23.01.25";"214.5"
"1691";"3.1.5 Oberflächenversickerungsschacht (UW)";"Umspannwerke";"• Lieferung, Montage und Installation eines Oberflächenwasserversickerungsschachts. 
 • Höhe der perforierten Wand: 1 m. 
 • Gesamttiefe des Schachts: über 2 bis 2,5 m. 
 • Schachtdurchmesser: DN 2000, aus vorgefertigten Stahlbetonteilen. 
 • Einschließlich Schachtabdeckung nach DIN EN 124-4, Klasse A 15, mit Zugangsdurchmesser von 625 mm. 
 • Füllmaterial: - Waschbetonsand, Körnung 0,2/4. - Kies, Körnung 2/8. 
 • Verbindungen:- Anschlussleitungen zwischen den Dachentwässerungssystemen (Betriebsgebäude und Ausgleichssystem) berücksichtigen. - Zuläufe aus PVC-U-Rohren mit flexiblen Anschlussstücken (Steckmuffe), Zulauf DN 125. 
 • Weitere Füllmaterialien:- Natursteinkies zur Grubenfüllung, Körnung 8/16, Menge: 1 m³.";"7500";"";"23.01.25";"9750"
"1690";"3.1.4 Versickerungsgrube (UW)";"Umspannwerke";"Versickerungsgrube nach DIN 4261-5 
 • Mit perforierter Wand, aus Schachtelementen nach DIN 4034-2. 
 • Versickerungssystem aus PE, Speicherkapazität SRR nach DWA-A 138 zwischen 90 und 95 %. 
 • Speichervolumen des Systems: über 1000 bis 1050 l. 
 • Verkehrslast: 5 kN/m². • Spül- und kamerabefahrbar. 
 • Maximale Abdeckung: 1 m, erforderliche Mindestabdeckung bis zur Geländeoberfläche: 1 m.";"7800";"";"23.01.25";"10140"
"1689";"3.1.3 Kabelgräben im UW-Bereich (UW)";"Umspannwerke";"Für Erdungssysteme/Stromkabel/Steuerkabel innerhalb der Umspannstation:
 • Die Grabenböden entsprechend dem richtigen Profil von der Oberkante des groben Untergrunds ausheben. 
• Das Aushubmaterial seitlich und in einer Lagerfläche ca. 50 m entfernt lagern. 
• Die Gräben offen halten, bis die Kabel/Erdungsdrähte verlegt sind. 
• Eine Bettung für Mittelspannungskabel mit Bettungssand herstellen und Warnband verlegen. 
• Die Gräben mit dem ausgehobenen Material auffüllen und verdichten. Hinweis: Die minimale Kabelüberdeckung nach Fertigstellung der Umspannstation beträgt mindestens 0,8 m.";"140";"";"23.01.25";"182"
"1688";"3.1.2 Aushub für Fundamente, Transformatorwanne, Fundamente für E-Haus / Aushubtiefe: maximal 1,50 m (UW)";"Umspannwerke";"• Wiederverwendbares Material ist im Bereich der Baustelle (max. 50 m entfernt) zu lagern und als Verfüllmaterial für Fundamente und Baugruben während des Baufortschritts einzubauen und zu verdichten.
 • Überschüssiges Aushubmaterial ist zu entfernen, einschließlich Deponiegebühren (LAGA Z0) und Nachweis der Verwertung.
 • Der Untergrund der Baugrubensohle ist entsprechend dem Profil zu erstellen und zu verdichten.
 • Beton B10 ist zu verwenden, um Höhendifferenzen auszugleichen.
 • Fundamentbasen im Bereich der Fundamente sind herzustellen. 
 Die spezifischen Montageanforderungen der ausgewählten Systemlieferanten der Komponenten müssen beachtet werden.";"115";"";"23.01.25";"149.5"
"1687";"3.1.1 Vorbereitung des Untergrunds (UW)";"Umspannwerke";"- UW-Gelände auf eine Höhendifferenz von +/- 0,2 m planieren.

- Oberboden ist zu lockern, aufzunehmen und in der Nähe der Baustelle zu lagern (Abstand zur Lagerfläche ca. 50 m

- Maximale Höhe des Lagerhaufens: 2 m

- Nach Abschluss der Bauarbeiten ist der nutzbare Boden entsprechend dem Profil wieder einzubauen.

-Genutzte Flächen und Wege sind wiederherzustellen

- Eine Rasensaatmischung gemäß behördlicher Vorgaben ist einzubringen.

- Überschüssiger Boden ist zu entsorgen, einschließlich Deponiegebühren und Nachweis der Verwertung";"45";"";"23.01.25";"58.5"
"1686";"Elektriker Stunde (UW)";"Umspannwerke";"- Zeitindekation

- Wird nach tatsächlicher Arbeitszeit berechnet
- Alle anzufallenden Tätigkeiten";"50";"";"23.01.25";"75"
"1685";"2.1.7 Vermessung und Positionierung von Geräten (UW)";"Umspannwerke";"Vermessung und Positionierung des Geräts.";"4200";"";"23.01.25";"5460"
"1684";"2.1.6 Schnurgerüst (UW)";"Umspannwerke";"Die geplanten Positionen, Feldaufteilungen und Höhen werden mithilfe eines Schnurgerüsts übertragen.";"2500";"";"23.01.25";"3250"
"1683";"2.1.5 Bauzaun aufrechterhalten (UW)";"Umspannwerke";"Schutzzaun, beweglich, auf unbefestigtem Boden, aus Einzelelementen mit verzinktem Stahlrohrrahmen und Gitter, verschraubt, Oberkante des Zauns über der Bodenoberfläche 2 m, Bereitstellung während der gesamten Bauzeit – bis zur Fertigstellung der endgültigen Einfriedung.";"8";"";"23.01.25";"10.4"
"1682";"2.1.4 Errichtung und Räumung des Bauzauns (UW)";"Umspannwerke";"Schutzzaun, beweglich, auf unbefestigtem Boden, aus Einzelelementen mit verzinktem Stahlrohrrahmen und Gitter, verschraubt, Oberkante des Zauns über der Bodenoberfläche 2 m, Errichtung und Räumung.";"32";"";"23.01.25";"41.6"
"1681";"2.1.3 Baustelle räumen nach Fertigstellung (UW)";"Umspannwerke";"Räumen der Baustelle von sämtlichen Geräten, Großgeräten, Anlagen, Einrichtungen und Ähnlichem.
 Die genutzten Flächen und Wege sind ordnungsgemäß in ihren ursprünglichen Zustand zu versetzen, unter Berücksichtigung landschaftspflegerischer Aspekte. 
Beseitigung von Verschmutzungen.
Sofern das Räumen der Baustelle nicht als separate Vergütung für bestimmte Bauleistungen enthalten ist, umfasst der Pauschalpreis die Entschädigung für das Räumen der Baustelle für alle Bauleistungen in dieser Ausschreibung.";"15000";"";"23.01.25";"19500"
"1680";"2.1.2 Baustelleneinrichtungen aufrechterhalten für maximal 6 Wochen (UW)";"Umspannwerke";"Wartung, Instandhaltung und Betrieb der Anlagen und Einrichtungen. Bereitstellung von Beleuchtung, Wasser und Strom, sowie die Ableitung von Abwasser.";"9000";"";"23.01.25";"11700"
"1679";"2.1.1 Vorbereitung und Einrichtung der Baustelle (UW)";"Umspannwerke";"Bringen Sie Geräte, Großgeräte, Werkzeuge und andere Betriebsmittel, die zur Durchführung der Bauarbeiten gemäß Vertrag erforderlich sind, auf die Baustelle, stellen Sie diese bereit und, falls die Nutzung der Geräte nicht gesondert vergütet wird, richten Sie sie betriebsbereit ein, einschließlich der hierfür erforderlichen Arbeiten, und schaffen Sie die notwendigen dauerhaften Einrichtungen.Transportieren, errichten und einrichten Sie Baucontainer, Unterkünfte, Werkstätten, Lagerschuppen und Ähnliches, falls erforderlich (max. 6 Wochen).
Stellen Sie Strom-, Wasser-, Telefonanschlüsse sowie Entsorgungseinrichtungen und Ähnliches für die Baustelle bereit, falls notwendig. Richten Sie bei Bedarf Lagerflächen, Montage-/Demontagebereiche, weitere Pflasterungen und Wege im Bereich der Baustelle ein. Entfernen Sie den Bewuchs für die Baustelleneinrichtung, falls erforderlich. 
Zusätzliche Flächen müssen beschafft werden, falls die vom Auftraggeber bereitgestellten Flächen nicht ausreichen.
Falls keine separaten Positionen für bestimmte Leistungen der Baustelleneinrichtung enthalten sind, gilt der Pauschalpreis für alle Leistungen dieses Leistungsverzeichnisses (LV).";"45000";"";"23.01.25";"58500"
"1677";"Drohnen-Thermografie für Photovoltaik";"";"Mit unserer Drohnen-Thermografie prüfen wir Ihre Photovoltaikanlage schnell, präzise und sicher. Bei Buchung des Wartung Vertrages ist der erste Flug nach 5 Jahren Laufzeit kostenlos! Jeder weitere Flug inklusive detaillierter Auswertung kostet 350 € zzgl. Anfahrt (Preisänderungen vorbehalten).

Sichern Sie sich maximale Effizienz und frühzeitige Fehlererkennung – bequem und professionell aus der Luft!";"0";"";"23.01.25";"0"
"1477";"PV Speicher Ecoflow 10,2 kWh";"PV- Speicher";"- EcoFlow PowerOcean LFP-Batterie
- Integrierter Feuerlöscher
- Integrierter Frostschutz (im Außenbereich verwendbar) 
- IP65 geschützt
- Jederzeit erweiterbar bis zu 45 kWh
- Abmessungen  680×183×1009 
- 15 Jahre Produktgarantie ";"3467";"";"22.01.25";"4507.1"
"1211";"Hybrid - Wechselrichter Sungrow 10 kW";"WR HY";"- Sungrow Hybrid HV SH10RT-20
- Handy App sowie Online Portal zur Überwachung der Anlage 
- Eingangsspannungsbereich von 200-950 V
- Hoher Wirkungsgrad von bis zu 98,4 % - Natürliche Konvektion
- AC + DC Überspannungsschutz 2 integriert 
- externe Anschlüsse, kein Öffnen des Wechselrichters nötig 
- SG-Ready Kontakt vorhanden (zur: Ansteuerung z.B. Wärmepumpe) 
- 10 Jahre Herstellergarantie";"1046.32";"";"22.01.25";"1412.53"
"1676";"Fallrohr Aluminium ";"";"- Fallrohr Aluminium DM 32
- inkl. 4 Klemmschellen pro Meter";"9.3";"";"21.01.25";"12.09"
"1554";"Hardy Barth Wallbox 22kW  + Einbau TSG + Montage";"Wallbox";"- Hardy Barth cPH2 1T22 Typ 2 Ladekabel 4m spiral, Salia, MID, RFID
- Typ 2 spiral Kabel 4 m
- RFID-Modul (5 Karten enthalten) 
- ME-Zähler
- Montage bis 10m inklusive
- Darüber hinaus wird nach tatsächlichem Aufwand abgerechnet ( 20€ pro 1m Kabelweg, 50€ pro Durchbruch)
- Einbau TSG (Steuereinheit für den Netzbetreiber)";"1913.4";"";"17.01.25";"2487.42"
"1018";"Hardy Barth Wallbox 2x 22 KW + Einbau TSG + Montage";"Wallbox";"- Hardy Barth cPH2 2T22 , RFID
- Typ 2 Ladekabel 8 m recht / Typ2 Ladekabel 7m links
- RFID- Modul (5 Karte enthalten)
- 2x MID Zähler
- Montage bis 10m inklusive
- Darüber hinaus wird nach tatsächlichem Aufwand abgerechnet ( 20€ pro 1m Kabelweg, 50€ pro Durchbruch)
- Einbau TSG (Steuereinheit für den Netzbetreiber)";"2239.02";"";"17.01.25";"2910.73"
"1066";"Notstrom Steckdose";"";"- Notstrom-Steckdose in der unmittelbaren nähe der Elektroinstallation
- IP 44
- EN 61439-3
- Für Wechselrichter mit 3-phasigen Backup Ausgang
- Bemessungsisolationsspannung. 400V AC (halogenfrei)
- bestückt mit: 4 x Leitungsschutzschalter B16A 1-polig, 4 x SCHUKO®-Steckdose (seitlich) 230V, 1 x Fehlerstrom-Schutzschalter (RCCB), 25/0,03A, 4-polig, Type A
- Abmessungen: 122 x 200 x 200 mm (L x B x H)";"330";"";"17.01.25";"485"
"1008";"Notstrom Automatisch";"";"- Notstrom wird an das gesamte Hausnetz angeschlossen. Strom wird automatisiert an den Verbraucher gesendet, der ihn gerade benötigt bzw. verwendet wird.
- Maximale Notstromleistung wird immer durch die Größe des Wechselrichters limitiert. So kann ein 10kW Wechselrichter maximal 10kW Notstrom liefern.
- Automatische Abschaltung auf Inselbetrieb bei Stromausfall.
- Der Wechselrichter liefert Strom solange ein Ertrag der PV gegeben, oder noch in der Batterie vorhanden ist.
- Schwarzstartfähigkeit: Sollte die Batterie leer sein, startet das System dennoch sobald genügend Spannung durch die PV Anlage erzeugt wird.";"750";"";"17.01.25";"1185"
"1581";"Notstrom Manuell";"";"- Notstrom wird an das gesamte Hausnetz angeschlossen. 
- Maximale Notstromleistung wird immer durch die Größe des Wechselrichters limitiert. So kann ein 10kW Wechselrichter maximal 10kW Notstrom liefern.
- Manuelle Abschaltung auf Inselbetrieb bei Stromausfall.
- Der Wechselrichter liefert Strom solange ein Ertrag der PV gegeben, oder noch in der Batterie vorhanden ist.
- Schwarzstartfähigkeit: Sollte die Batterie leer sein, startet das System dennoch sobald genügend Spannung durch die PV Anlage erzeugt wird.";"450";"";"17.01.25";"585"
"1318";"SMA Smartmeter Energy Meter-20";"";"SMA ENERGY METER-20

- Lokales WebUI
- Kommunikation mit Data Manager M

- 3-Phasige Direktmessung bis 63A
- Dynamische Abregelung der SMA unterstützten Wechselrichter";"272";"";"17.01.25";"353.6"
"1317";"Smartmeter SMA Sunny Home Manager 2.0";"";"Smartmeter SMA Sunny Home Manager 2.0

- SMA Energy Meter und Home Manager in einem Gerät

- Wetterprognosen zur Verbrauchersteuerung und Batterieladung
- Kommunikation mit dem SMA Sunny Portal
- Verbrauchersteuerung über Edimax SP-2101W
- Elektrisches Laden mit dem SMA EV Charger oder der Mennekes AMTRON Professional bzw. AMTRON Charge Control";"349";"";"17.01.25";"453.7"
"1316";"SMA Speicher 9,8 kWh";"PV- Speicher";"SMA Home Storage 9,8 kWh
- Boden- und Wandmontage
- Nettokapazität: 9,8 kW (3,28 kWh pro Batterieeinheit)
- Kapazitäten bei SMA STSE bis zu 16,4 kWh möglich
- Schutzart: IP 65
- Zellchemie: Lithiumeisenphosphat
- 10 Jahre Garantie mit einer Registrierung im Online Service Center innerhalb 30 Tage";"4113.06";"";"17.01.25";"5346.98"
"1375";"SMA Speicher 6,56 kWh";"PV- Speicher";"SMA Home Storage 6,56 kWh
-  Kompatibel mit SMA Sunny Tripower Smart Energy und SMA Sunny Boy Smart Energy
- Boden- und Wandmontag
- Nettokapazität: 6,56 kW (3,28 kWh pro Batterieeinheit)
- Kapazitäten bei SMA STSE von 6,4 bis zu 16,4 kWh möglich
- Größe pro Batterieeinheit: 610 x 483 x 214,6 mm
- Schutzart: IP 65
- Zellchemie: Lithiumeisenphosphat
- 10 Jahre Garantie mit einer Registrierung im Online Service Center innerhalb 30 Tage";"2742.04";"";"17.01.25";"3564.65"
"1396";"SMA Speicher 13,1 kWh";"PV- Speicher";"SMA Home Storage 13,1 
- Boden- und Wandmontage
- Nettokapazität: 13,1 kW (3,28 kWh pro Batterieeinheit)
- Kapazitäten bei SMA STSE von 6,4 bis zu 16,4 kWh möglich
- Schutzart: IP 65
- Zellchemie: Lithiumeisenphosphat
- 10 Jahre Garantie mit einer Registrierung im Online Service Center innerhalb 30 Tage";"5484.08";"";"17.01.25";"7129.3"
"1434";"SMA Speicher Home Storage 16,4 kWh";"PV- Speicher";"SMA Speicher Home Storage 16,4 
- Boden- und Wandmontage
- Größe pro Batterieeinheit: 610 x 483 x 214,6 mm
- Gewicht pro Batteriemodul: 38 kg
- Schutzart: IP 65
- Zellchemie: LFP
- 5 x SMA Home Storage 3,28 kWh
- SMA Kommunikationskabel für den SMA Home Storage
- 10 Jahre Garantie mit einer Registrierung im Online Service Center innerhalb 30 Tage";"6855.1";"";"17.01.25";"8911.63"
"1329";"SolarEdge Home Speicher Hochvolt 9,7 kW";"";"- Nettokapazität: 9,7 kWh (bei 100% DoD)
- Bruttokapazität: 10,3 kWh
- Nennleistung: 5 kW
- Garantie: 10 Jahre
- Kompatibilität: Einphasenwechselrichter mit HD-Wave Technology, StorEdge Einphasen-Wechselrichter mit HD-Wave-Technologie
- Kommunikation: Funkverbindung via SolarEdge Energy Net Plug-in
- Gewicht: 121 kg
- Abmessungen: 790 x 1179 x 250 mm
- Schutzklasse: IP 55
- Montage: Innen oder außen möglich. Wandmontage mit Griffen oder Bodenmontage mit Bodenplatte möglich (müssen separat bestellt werden)";"3659.4";"";"17.01.25";"5989.75"
"1527";"Pylontech Force H1 14,21 kWh Speicher ";"";"- Flexibles Modular-Design
- 10 Jahre Garantie
- Nettokapazität: 13,50 kWh
- Nennspannung: 192V
- Lade-/Entladestrom: 37A
- Max. Lade-/Entladestrom: 40A (15sec.)
- Lithium-Eisenphosphatzellen (LFP)
- Schutzklasse: IP55
- Abmessungen: 600x380x870 mm (WxHxT)";"3734.5";"";"14.01.25";"4854.85"
"1674";"PV- Speicher FOX ESS 8,64 kWh";"PV- Speicher";"- Fox ESS ECS2900 - H3 8,64 kWh
- Innen- und Außenaufstellung möglich - IP65

- Jederzeit erweiterbar auf 20,16 kWh
- Lithium-Eisen-Phosphat Zellchemie

- Maße: 570x470x380 mm (BxHxT)
- Gewicht: 100,3 kg
- 10 Jahre Produktgarantie ";"2924.25";"";"13.01.25";"3801.53"
"1673";"Hybrid- Wechselrichter FOX ESS 12 KW";"WR HY";"- Fox ESS H3 12.0 E

- Eingangsspannungsbereich von 160-950 V

- Hoher Wirkungsgrad von bis zu 97,3 %
- 2x RS485 Schnittstelle
- Geräuschemission 30dB (A) 
- MPP Tracker: 2 
- 10 Jahre Garantie
- IP65 geschützt
- Ersatzstrom- Light fähig";"1405.95";"";"13.01.25";"1827.74"
"1275";"Inbetriebnahme";"";"- Vollständige Inbetriebnahme und Installation des Speichers ";"3400";"";"10.01.25";"325"
"1672";"My-PV AC-THOR Power Manager ";"";"-  MY- PV  20-0100
-  stufenlose Regelung
-  Messung am Netzanschlusspunkt über separates MyPV Power Meter
-  Anwenderfreundliche Bedienung über Touch-Screen
-  Abmessungen: 135 x 65 x 195 mm (L x B x H)
-  Gewicht: 1,3 kg
-  Schutzklasse IP20 (Innenraum)";"596.7";"";"03.01.25";"775.71"
"1513";"Hybrid- Wechselrichter Solis 6 KW";"WR HY";"- S6-EH3P5K-H-EU

-  Netzanschluss: 3-Phasig
-  6,0 kW Notstrom Leistung über separaten Ausgang
-  MPP Tracker: 3 mit je 1 Stringausgang
-  3-phasiger Smart Meter mit 3 Stromwandlern inklusive
-  Schutzklasse: IP66
-  Abmessungen: 496 x 596 x 230 mm (HxBxT)
-  Gewicht: 31,8 kg
-  Garantie: 5 Jahre";"940";"";"03.01.25";"1222"
"1052";"Wechselrichter Solis 5 kW";"WR";"-AFCI-Funktion integriert 

-Hoher Eingangsstrom von 16 A 

-Breiter MPPT-Spannungsbereich von 160 - 1000 V 

-Max. Wirkungsgrad: 98,3 % 

-Netzanschluss: 3-Phasig 

-AC Leistung: 5 kVA 

-MPP Tracker: 2 

-Stringanschlüsse je MPPT: 1 

-Max. Kurzschlussstrom pro MPPT: 20 A 

-Max. Eingangsstrom: 16 A 

-Kommunikation: RS485, WiFi 

-Inbetriebnahme erfolgt über Display 

-Schutzklasse: IP66 

-Abmessungen: 563 x 310 x 219 mm (HxBxT) 

-Gewicht: 17,8 kg 

-Garantie: 10 Jahre";"720";"";"03.01.25";"936"
"1102";"Wechselrichter Solis 20 kW";"WR";"- S5-GR3P20K-DC

- - AFCI-Funktion integriert - Hoher Eingangsstrom von 32 A pro MPPT - Breiter MPPT-Spannungsbereich von 160 - 1000 V - Max. Wirkungsgrad: 98,7 % - Netzanschluss: 3-Phasig - AC Leistung: 20 kVA - MPP Tracker: 2 - Stringanschlüsse je MPPT: 2 - Max. Kurzschlussstrom pro MPPT: 40 A - Max. Eingangsstrom pro MPPT: 32 A - Kommunikation: RS485, WiFi - Inbetriebnahme erfolgt über Display - Schutzklasse: IP66 - Abmessungen: 563 x 310 x 219 mm (H x B x T) - Gewicht: 20 kg - Garantie: 5 Jahre";"1114";"";"03.01.25";"1448.2"
